prediction;test_price
26255.6;23770.5
26103.54;23782.5
25949.64;23781.5
25800.71;23766.5
25664.73;23745.5
25550.38;23729.0
25456.65;23733.5
25369.06;23705.5
25300.03;23802.0
25154.74;23794.0
24999.98;23760.0
24864.16;23820.5
24682.87;23776.0
24528.69;23827.5
24342.86;23839.0
24146.03;23795.5
23991.17;23824.5
23827.67;23905.0
23587.71;23911.5
23369.91;23895.0
23182.41;23824.0
23071.94;23904.5
22925.89;23825.5
22855.15;23853.5
22788.38;23812.5
22754.51;23764.5
22764.22;23936.0
22692.02;24085.0
22544.11;24085.5
22369.6;23933.0
22303.72;23920.0
22267.91;23870.5
22281.58;23800.0
22357.38;23808.0
22450.34;23754.5
22580.23;23893.0
22651.53;23886.5
22711.34;23926.0
22740.13;23883.5
22783.36;23850.0
22841.63;23796.0
22926.61;23891.5
22958.97;23879.0
23003.05;23848.5
23064.22;23877.0
23105.16;23924.0
23110.93;23878.5
23130.16;23881.0
23145.4;24010.5
23058.99;23763.0
23120.67;23784.0
23202.24;23662.5
23340.09;23744.0
23450.38;23840.5
23507.51;23706.5
23607.4;23651.5
23714.16;23652.0
23787.19;24007.0
23759.16;24003.0
23683.43;23867.0
23631.0;23986.5
23525.71;24022.0
23409.33;24079.0
23254.05;24121.0
23061.23;24014.5
22892.09;23688.5
22915.25;23651.5
22993.28;23591.5
23141.27;23485.5
23345.42;23507.0
23548.74;23458.0
23746.44;23656.5
23891.55;23665.0
23998.14;23719.5
24037.4;23600.0
24058.32;23804.5
24020.66;23901.5
23933.4;23995.0
23795.48;23988.5
23629.68;23990.5
23437.86;24072.0
23220.9;24060.0
23007.33;24010.5
22824.08;23964.5
22689.85;23949.5
22588.15;23918.0
22529.87;23943.5
22478.47;23929.5
22453.21;23920.0
22437.07;23943.5
22437.64;23888.5
22479.9;23847.5
22559.87;23898.0
22619.04;23937.0
22636.11;24235.5
22479.88;24017.0
22483.88;23947.5
22551.12;23980.0
22617.18;24033.0
22662.35;23916.5
22763.11;23898.5
22876.79;24002.0
22950.52;23946.0
23034.42;23946.0
23117.26;23885.0
23228.21;23905.5
23331.88;23853.5
23455.19;23807.5
23598.5;23800.5
23750.11;23771.0
23910.82;23825.0
24038.9;23810.5
24150.23;23885.5
24205.43;23843.5
24258.33;23758.0
24340.69;23790.5
24404.86;23830.0
24439.65;23874.5
24424.23;23865.0
24394.4;23710.5
24427.72;23843.0
24407.33;23839.0
24376.53;23776.5
24362.83;23818.0
24330.34;23882.0
24263.1;23954.5
24145.45;23955.0
24008.83;23929.0
23874.73;23871.5
23774.98;23911.0
23674.09;23930.5
23569.35;23932.0
23456.88;24079.5
23271.2;24012.0
23100.92;23904.0
22994.17;23875.0
22990.27;23838.5
23034.24;23786.5
23123.93;23793.5
23234.03;23842.5
23320.51;23816.0
23407.9;23804.0
23499.84;23801.0
23588.41;23754.5
23692.83;23798.0
23755.15;23990.5
23695.61;23993.5
23586.48;23880.5
23529.72;23913.0
23476.19;23759.0
23512.73;23798.0
23528.15;23886.0
23512.69;23764.5
23540.08;23731.5
23545.4;23666.5
23585.46;23485.5
23721.58;23222.0
23991.85;23117.5
24321.21;22967.0
24696.18;22884.0
25089.96;22892.0
