actual,predicted
62576.9,62718.28380036354
62657.299999999996,62581.17443548441
62540.0,62661.57992736102
62409.3,62544.271914958954
62449.8,62413.562987244135
62478.6,62454.06575367451
62321.1,62482.867720913884
62231.6,62325.356962573525
62413.09999999999,62235.850849103925
62477.49999999999,62417.36324681043
62285.8,62481.76764577627
62142.0,62290.054551339155
62252.1,62146.244728803635
62284.4,62256.352249395844
62200.0,62288.65445570946
62326.399999999994,62204.24869060516
62304.1,62330.65732460022
62385.2,62308.355801355836
62281.1,62389.46134104728
62409.9,62285.35423029661
62369.4,62414.163028228286
62506.50000000001,62373.66026179791
62502.9,62510.769626677036
62443.3,62507.16938077212
62452.5,62447.565309679514
62496.4,62456.7659381032
62482.1,62500.66893677712
62457.2,62486.367959988114
62580.100000000006,62461.46625914573
62600.00000000001,62584.37465406656
62518.0,62604.27601337433
62555.0,62522.27041220665
62429.7,62559.2729395628
62415.7,62433.96438070535
62357.6,62419.96342440843
62583.7,62361.85945577621
62802.899999999994,62587.97489997148
63001.09999999999,62807.18987284899
62622.0,63005.403411281106
62322.4,62626.27751612663
62461.6,62326.65705137253
62746.0,62465.866559696195
62663.7,62750.285986185074
62171.2,62667.98036452531
62196.0,62175.44672336578
62255.00000000001,62200.24841737747
62209.8,62259.252447485924
62320.100000000006,62214.049360013014
62482.50000000001,62324.3568942666
62544.69999999999,62486.76798731089
62396.8,62548.972236001486
62253.4,62401.0621334076
62187.9,62257.65233819485
62361.6,62192.1478640914
62391.49999999999,62365.8597290039
62160.6,62395.7617713809
62057.9,62164.8459993124
62079.19999999999,62062.13898419142
61872.100000000006,62083.44043912887
62067.09999999999,61876.32629276514
62272.8,62071.339612615106
62219.5,62277.05366334916
62288.4,62223.75002259016
62249.9,62292.65472893715
62286.00000000001,62254.15209912062
62361.700000000004,62290.254565000534
62324.8,62365.95973583459
62432.799999999996,62329.05721530915
62422.6,62437.06459245682
62407.9,62426.8638957262
62284.5,62412.16289161444
62195.0,62288.75446254015
62215.200000000004,62199.24834907055
62151.1,62219.449728870386
62055.0,62155.34535039663
62014.7,62059.23878610134
62158.0,62018.93603333234
62120.7,62162.2458217144
62117.7,62124.94327386617
62193.80000000001,62121.9430689454
62019.9,62198.04826710225
62125.59999999999,62024.13638852835
62163.2,62129.843608570096
62342.49999999999,62167.446176910395
62400.0,62346.75842434168
62381.1,62404.262351989746
62285.8,62385.3610609889
62275.7,62290.054551339155
62307.200000000004,62279.95386143922
